pred_label,kind,gold,threshold,precision_mean,recall_mean,f1_mean,precision_std,recall_std,f1_std,pred_count_mean,gold_count,policy,model,sem_mode
LLM-avg,node,short,0.1,1.0,0.8347826086956524,0.9090423078078981,0.0,0.05233469589932694,0.03192600272671234,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.15,0.9967741935483871,0.8318840579710146,0.9059888726933943,0.0064516129032258,0.049018940653008033,0.02876487443914486,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.2,0.9894627944124614,0.8260869565217392,0.899530539360061,0.008680132003734117,0.05344663453503124,0.03411835969436232,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.25,0.9614617401041222,0.8028985507246377,0.8741745682314521,0.01712557532250277,0.05694748609967681,0.03864164246840911,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.3,0.9134685302638618,0.7623188405797101,0.8302426944962032,0.012710653844481144,0.045461991714081516,0.027598230556395164,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.35,0.8761294167183286,0.7304347826086955,0.7958718018072168,0.02056720453751455,0.032536151189338634,0.01574347428740327,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.4,0.799971128512867,0.6666666666666666,0.726512392057863,0.025848980219111653,0.027498066610159817,0.014223413765767972,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.45,0.7272611161694746,0.6057971014492753,0.6603025886077217,0.04313374568551319,0.03478260869565215,0.031700282308178,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.5,0.6498469737247287,0.5420289855072464,0.5904635626415018,0.02734755272493248,0.03502332166259294,0.027281950570553035,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.55,0.5516676888134262,0.4608695652173913,0.5017131619282323,0.02279775770714279,0.03823451002397948,0.030751126755489896,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.6,0.4825228430392915,0.4028985507246377,0.4387021773757288,0.019680059948520533,0.030948052904438576,0.02466959285328683,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.65,0.4272465880075753,0.3565217391304348,0.38830335497184987,0.009539911657800462,0.021690767459559095,0.014150622629827681,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.7,0.37300545526934215,0.3101449275362319,0.3383298145699345,0.03294723164403318,0.019658927487319608,0.023110150240244466,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.75,0.26109151226335825,0.2173913043478261,0.23700559495902707,0.017606495427987496,0.012962712913042254,0.013103411227753901,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.8,0.20979527121268746,0.17391304347826086,0.1899647121876941,0.02876484339482839,0.01587601615957003,0.020562978405539615,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.85,0.15034662419859443,0.12463768115942028,0.1361450006010699,0.023030692442022393,0.014779766706066042,0.017839394919272517,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.9,0.10763597232033968,0.08985507246376812,0.09785637184187854,0.019090453631758514,0.016901309840131305,0.01779768505122497,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.1,0.9296581889481722,0.9888888888888889,0.9573573390296003,0.04148204706937749,0.022222222222222233,0.014067505410688245,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.15,0.9116455601678464,0.9703703703703704,0.9391188223840039,0.03755706330260251,0.03813196348513703,0.02321720633603165,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.2,0.871273018172032,0.9259259259259259,0.8968175014894575,0.05403621413058949,0.020286020648339453,0.029794992037285566,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.25,0.8224955093932145,0.874074074074074,0.8465876164319864,0.05280256865570417,0.021596118129056673,0.029735790426878742,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.3,0.7734784892633927,0.8222222222222223,0.7962460583867358,0.045454417472385496,0.018885257457751072,0.0231435712366556,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.35,0.7394991148172096,0.7851851851851851,0.7608096836537485,0.06494147478647101,0.036288736930121156,0.046106528939389345,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.4,0.7083023454663817,0.7518518518518519,0.7286233052879376,0.06110744976970872,0.02771598064276994,0.04121818746755918,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.45,0.6514421880816579,0.6925925925925926,0.6706626996236394,0.037862814615781976,0.018885257457751055,0.0202067613097536,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.5,0.58329106118796,0.6185185185185185,0.5997066131915079,0.06497692344524822,0.03813196348513703,0.049451037569897174,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.55,0.5506443221318618,0.5851851851851853,0.5667661333682084,0.04598838407655054,0.0343467351685026,0.03581794868216834,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.6,0.4839427213354375,0.5148148148148148,0.4983691529709229,0.024764463919275597,0.018144368465060606,0.014175658208998517,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.65,0.4289473810677718,0.45555555555555555,0.44136913843962977,0.0331483645379277,0.014814814814814815,0.021381664237373647,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.7,0.36939315535041156,0.39259259259259255,0.380229957713937,0.029233575508790452,0.021596118129056676,0.022551932135750286,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.75,0.27460370094758363,0.2925925925925926,0.28303166368775157,0.027389584913057315,0.031860463952009734,0.028361330565984232,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.8,0.16110629919658895,0.17037037037037037,0.16542860049115773,0.03327627219915702,0.029629629629629627,0.03113880478150918,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.85,0.12570704645425976,0.1333333333333333,0.12927794004388451,0.027193093470284358,0.02721655269759087,0.026953354446389133,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.9,0.08400142546036343,0.08888888888888888,0.08628572881700743,0.03095014826939761,0.031860463952009734,0.03127491762938104,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
